page,token,pos,counts,cumulative_sum
199,name,NN,10,10
181,wind,NN,10,10
139,would,MD,8,8
56,money,NN,8,8
175,sea,NN,7,7
32,poetry,NNP,7,7
171,sea,NN,7,14
209,said,VBD,7,7
143,word,NN,7,7
37,government,NN,7,7
139,climate,NN,7,7
117,controversy,NN,7,7
18,one,CD,7,7
68,would,MD,7,15
254,verse,NN,7,7
35,coronet,NN,7,7
174,sea,NN,6,20
47,gibbon,NNP,6,6
59,gross,JJ,6,6
200,gun,NN,6,6
92,bad,JJ,6,6
140,climate,NN,6,13
254,good,JJ,6,6
52,man,NN,6,6
103,poetry,NN,6,13
113,one,CD,6,13
45,would,MD,6,21
170,sea,NN,6,26
134,one,CD,6,19
190,ropes,NNS,6,6
29,verse,NN,6,13
68,statue,NN,6,6
219,deacon,NN,6,6
51,man,NN,5,11
111,example,NN,5,5
60,gross,JJ,5,11
49,footnote,NN,5,5
113,law,NN,5,5
47,footnote,NN,5,10
78,place,NN,5,5
45,wine,NN,5,5
143,day,NN,5,5
42,official,NNP,5,5
156,would,MD,5,26
52,rich,JJ,5,5
56,purchase,VB,5,5
52,pamphlet,NN,5,5
219,two,CD,5,5
95,poet,NN,5,5
17,many,JJ,5,5
135,understand,VBP,5,5
19,fraud,NNP,5,5
98,verse,NN,5,18
148,change,NN,5,5
94,good,JJ,5,11
182,lee,NN,5,5
133,one,CD,5,24
176,sea,NN,5,31
93,bad,JJ,5,11
59,may,MD,5,5
244,one,CD,5,29
59,serf,NN,5,5
150,class,NN,5,5
59,regardant,NN,5,5
183,take,VB,5,5
31,verse,NN,5,23
54,let,VB,5,5
243,number,NN,5,5
242,enemy,NN,5,5
81,world,NN,5,5
52,library,NN,5,5
34,coronet,NN,5,12
33,would,MD,5,31
35,kind,NNP,5,5
142,climate,NN,5,18
56,men,NNS,4,4
57,money,NN,4,12
217,worship,NN,4,4
106,great,JJ,4,4
91,two,CD,4,9
172,sea,NN,4,35
215,ampersand,NN,4,4
57,men,NNS,4,8
199,gun,NN,4,10
244,number,NN,4,9
214,also,RB,4,4
57,purchase,VB,4,9
217,might,MD,4,4
151,carriage,NN,4,4
58,soul,NN,4,4
